longitude,latitude,ObsEasting,ObsNorthing,ObsUpwarding,CalcEasting,CalcNorthing,CalcUpwarding
(deg),(deg),(m),(m),(m),(m),(m),(m)
     141.172105,      39.596572,       1.240600,      -0.924100,      -0.018700,       2.089801,      -0.996062,      -0.256088
     140.821985,      41.145546,       0.182400,      -0.199100,       0.030200,       0.412855,      -0.352591,      -0.028622
     138.209984,      35.066974,       0.064800,       0.012600,       0.000400,       0.151217,       0.035666,      -0.032055
     131.286086,      33.009027,       0.013900,       0.026100,       0.051600,       0.033250,       0.004880,      -0.001633
     139.831767,      38.594037,       1.058500,      -0.273700,       0.014400,       1.322342,      -0.353902,      -0.020143
     133.239880,      36.285290,       0.070400,       0.024900,       0.003000,       0.094345,       0.001494,       0.007204
     141.664599,      44.148753,       0.041400,      -0.017600,      -0.006400,       0.035862,      -0.041244,      -0.023190
     139.056735,      36.539259,       0.317600,       0.072300,      -0.039200,       0.583952,       0.017999,      -0.057186
     140.836319,      39.554456,       1.092700,      -0.736400,      -0.024100,       1.707932,      -0.786223,      -0.116816
     134.007133,      33.427796,       0.022600,      -0.004800,      -0.004600,       0.045402,       0.008275,      -0.005563
     141.074955,      42.667876,       0.043400,      -0.055100,      -0.011200,       0.105061,      -0.117543,      -0.025591
     130.296906,      33.683070,       0.026000,       0.023200,       0.001900,       0.036037,       0.003926,       0.000409
     133.972601,      34.590285,       0.041100,      -0.001600,      -0.001800,       0.068203,       0.009125,      -0.001483
     136.938480,      34.740051,       0.048800,       0.040300,       0.011900,       0.104293,       0.021466,      -0.015536
     131.864313,      34.439720,       0.011100,       0.020900,       0.012100,       0.050584,       0.005150,       0.000966
     129.026343,      32.885628,      -0.029500,       0.023500,       0.021700,       0.027322,       0.003231,      -0.000073
     136.687282,      35.488324,       0.085000,       0.031300,       0.013200,       0.149552,       0.021258,      -0.006993
     132.104442,      33.975068,       0.028400,       0.022900,       0.020800,       0.046116,       0.005815,      -0.000513
     137.073565,      35.239086,       0.061700,       0.015300,      -0.026800,       0.141790,       0.024859,      -0.013052
     136.806403,      36.592090,       0.147700,       0.018700,      -0.002600,       0.240232,       0.008267,       0.006342
     140.571648,      37.591091,       1.830200,      -0.142200,      -0.152100,       2.194239,      -0.186589,      -0.485540
     143.459231,      43.028625,       0.005700,      -0.002500,      -0.046400,       0.019706,      -0.014231,      -0.052494
     135.341779,      34.790904,       0.048000,       0.005100,       0.011800,       0.087690,       0.013587,      -0.004688
     136.235613,      35.269441,       0.065100,       0.017500,       0.013200,       0.123791,       0.018226,      -0.005859
     138.906264,      36.697027,       0.347800,       0.047400,      -0.013800,       0.575982,       0.009186,      -0.039616
     141.955257,      39.458161,       1.972800,      -1.560600,      -0.417200,       4.291246,      -1.958186,      -1.575751
     141.330057,      44.427048,      -0.020400,      -0.017900,       0.002300,       0.035685,      -0.040668,      -0.019109
     132.208976,      35.002812,       0.030700,       0.024200,       0.007300,       0.060437,       0.004811,       0.002397
     130.274984,      30.784655,       0.005400,       0.021000,       0.022900,       0.017678,       0.003146,      -0.003153
     138.242586,      37.056681,       0.292400,       0.009900,       0.004600,       0.475134,      -0.008112,      -0.000020
     139.630650,      35.663697,       0.088600,       0.062700,      -0.131400,       0.400365,       0.093532,      -0.118805
     144.293302,      43.988789,       0.012700,      -0.004400,      -0.005800,       0.006354,      -0.001258,      -0.036396
     139.561764,      34.093764,       0.000300,       0.038100,       0.031600,       0.041378,       0.006978,      -0.054948
     135.989763,      35.945004,       0.084200,       0.027700,      -0.011700,       0.154447,       0.013153,       0.001797
     144.970728,      43.218189,       0.002000,       0.028500,      -0.021400,      -0.002306,       0.008018,      -0.045327
     141.955250,      45.514114,       0.013700,       0.001600,      -0.019400,       0.018879,      -0.020518,      -0.017329
     132.982170,      32.869483,       0.013900,      -0.001200,       0.007300,       0.035358,       0.006311,      -0.004418
     135.970596,      33.660805,       0.015800,       0.003200,      -0.019800,       0.054463,       0.011870,      -0.012818
     130.867107,      31.242747,       0.000200,       0.016500,       0.078500,       0.020208,       0.003610,      -0.003395
     138.081684,      35.044884,       0.065400,       0.022600,      -0.005300,       0.146187,       0.033833,      -0.029535
     139.742250,      38.146175,       1.052700,      -0.153300,      -0.001300,       1.308119,      -0.244200,      -0.046343
     131.587843,      32.986857,       0.013700,      -0.001700,       0.016400,       0.033751,       0.005137,      -0.002021
     141.131807,      40.862361,       0.226300,      -0.290700,       0.050600,       0.566407,      -0.468508,      -0.061281
     139.269328,      36.003735,       0.231500,       0.063100,      -0.050600,       0.482217,       0.060109,      -0.088707
     132.984378,      36.093209,       0.058400,       0.005400,      -0.028500,       0.086644,       0.002238,       0.006293
     141.293001,      39.464693,       1.526800,      -1.066300,      -0.060700,       2.533959,      -1.123044,      -0.386930
     141.602260,      42.655530,       0.051500,      -0.040000,      -0.045500,       0.087007,      -0.103257,      -0.036240
     144.506409,      43.722779,       0.002300,       0.020100,      -0.025200,       0.004242,       0.001676,      -0.039688
     130.675667,      33.579768,       0.007600,       0.006400,       0.014000,       0.036458,       0.004312,      -0.000038
     133.402984,      33.407704,       0.025400,       0.006500,       0.034400,       0.043402,       0.007424,      -0.004129
     137.124687,      35.478700,       0.080700,       0.022300,       0.006100,       0.163321,       0.025458,      -0.011186
     130.166428,      32.795701,      -0.014500,       0.056600,       0.066000,       0.029129,       0.003974,      -0.000929
     136.474457,      34.420326,       0.037000,       0.020700,      -0.003400,       0.083390,       0.017265,      -0.013339
     132.902094,      35.035212,       0.029000,       0.018300,       0.009500,       0.067142,       0.005991,       0.001973
     134.351972,      34.096989,       0.022200,       0.010000,      -0.004100,       0.059818,       0.009903,      -0.004455
     133.563990,      35.169661,       0.039300,       0.020500,       0.003400,       0.076747,       0.007160,       0.001808
     136.965801,      35.168421,       0.084300,       0.019300,      -0.016000,       0.133779,       0.023732,      -0.012579
     142.401972,      42.980515,       0.024500,      -0.016300,      -0.013500,       0.045589,      -0.053524,      -0.044330
     137.239224,      36.472800,       0.162200,       0.000000,      -0.021200,       0.265050,       0.013898,       0.001609
     138.865405,      36.259032,       0.236200,       0.069100,      -0.011800,       0.458908,       0.037649,      -0.048295
     135.870808,      35.137040,       0.060300,       0.023800,      -0.022700,       0.109690,       0.016106,      -0.004846
     134.828779,      34.786962,       0.035700,       0.018400,      -0.006500,       0.081672,       0.011631,      -0.002824
     139.835523,      37.461289,       0.956600,      -0.019100,      -0.048800,       1.264069,      -0.107674,      -0.126903
     142.625589,      44.294568,       0.011700,      -0.000900,      -0.004900,       0.021866,      -0.023183,      -0.028455
     141.534158,      39.338056,       2.062900,      -1.387600,      -0.226900,       3.397309,      -1.385465,      -0.747668
     138.975854,      35.623349,       0.122200,       0.033700,      -0.008800,       0.296481,       0.061187,      -0.058039
     139.045179,      35.415350,       0.104600,       0.044800,       0.006700,       0.242857,       0.059796,      -0.059351
     131.028597,      30.753325,      -0.018100,      -0.015800,       0.041800,       0.017667,       0.003270,      -0.003940
     131.610374,      34.616494,       0.020400,       0.016600,       0.064300,       0.051155,       0.004581,       0.001634
     139.162601,      35.336208,       0.080000,       0.027600,       0.010200,       0.226519,       0.060156,      -0.063792
     140.087190,      36.106114,       0.326800,       0.091500,      -0.048700,       0.917455,       0.012222,      -0.358227
     137.893871,      36.950871,       0.237000,       0.024700,       0.024100,       0.396740,      -0.000816,       0.003717
     142.577715,      43.908405,      -0.006900,      -0.011100,       0.000500,       0.026132,      -0.028399,      -0.032232
     136.197394,      35.792782,       0.074400,       0.022400,      -0.026700,       0.153148,       0.015780,      -0.000676
     132.810657,      32.762100,      -0.007900,       0.036500,      -0.003900,       0.033860,       0.006033,      -0.004286
     139.478805,      34.075781,       0.014000,      -0.003700,      -0.052500,       0.042643,       0.007812,      -0.053239
     137.946810,      34.902051,       0.051400,       0.022500,       0.022200,       0.128813,       0.030320,      -0.027775
     136.024347,      33.820426,       0.018600,       0.025000,       0.021800,       0.059210,       0.012762,      -0.012679
     141.881787,      45.230106,      -0.038600,       0.006800,       0.001500,       0.021369,      -0.023537,      -0.018341
     140.093526,      37.963607,       1.353800,      -0.165000,      -0.049300,       1.674482,      -0.270801,      -0.152401
     143.027763,      43.171330,       0.009700,       0.004700,       0.006300,       0.026866,      -0.026557,      -0.046896
     127.993676,      26.386345,       0.025200,      -0.016600,       0.013500,       0.006290,       0.001067,      -0.002902
     131.756842,      32.704017,       0.016300,       0.009900,       0.056300,       0.031509,       0.005128,      -0.002719
     141.311673,      39.235375,       2.092300,      -1.256600,      -0.163500,       2.977575,      -1.154642,      -0.497908
     140.589225,      40.706276,       0.280800,      -0.279100,       0.002600,       0.601378,      -0.433499,      -0.018575
     132.743214,      35.392615,       0.046700,      -0.000900,      -0.013600,       0.071533,       0.004742,       0.003467
     130.995426,      33.564733,       0.025700,       0.027100,       0.004200,       0.037390,       0.004625,      -0.000323
     139.182198,      35.884048,       0.181700,       0.056500,      -0.024200,       0.415182,       0.064554,      -0.077034
     132.792691,      33.171645,       0.015700,       0.023600,       0.009300,       0.038596,       0.006446,      -0.003456
     141.798042,      39.253519,       2.695100,      -1.789000,      -0.492000,       4.508520,      -1.732047,      -1.364356
     140.825684,      42.646290,       0.054100,      -0.063300,      -0.004400,       0.114470,      -0.123770,      -0.020909
     141.370584,      43.624329,       0.003500,      -0.042300,      -0.001100,       0.052114,      -0.060391,      -0.023895
     136.549743,      35.371709,       0.072300,       0.025000,       0.000800,       0.137618,       0.020379,      -0.007083
     137.823422,      34.671882,       0.040200,       0.023600,       0.041100,       0.107047,       0.025979,      -0.026764
     135.928303,      33.877002,       0.018600,       0.009000,       0.005100,       0.060750,       0.012859,      -0.011941
     133.396276,      34.993364,       0.040500,      -0.000400,      -0.019500,       0.071281,       0.007156,       0.001251
     132.908111,      34.633672,       0.018100,       0.014100,      -0.006000,       0.060403,       0.006676,       0.000493
     136.862749,      34.984394,       0.050300,       0.018300,      -0.002300,       0.118852,       0.022293,      -0.013098
